"","CpGmarker","CoefficientTraining"
"1","Intercept",65.79295
"2","cg24611351",-0.00181074334141296
"3","cg24173182",-0.203954554944647
"4","cg09604333",-0.703967823159438
"5","cg13617776",-0.0115244596442821
"6","cg09432590",1.04897722939436
"7","cg05516505",-0.142741945597026
"8","cg12757684",-0.755070858795933
"9","cg23606718",3.43594870498156
"10","cg20050761",-0.0253500392120005
"11","cg22452230",-0.544894977624211
"12","cg05898618",-0.896874468981799
"13","cg01620164",-0.78746336997161
"14","cg06758350",-0.0683489233900775
"15","cg23615741",-0.709323277591539
"16","cg09692396",-1.46773021929706
"17","cg02046143",-0.633992747617437
"18","cg08540945",0.0327826246448651
"19","cg11714320",-0.866080963898437
"20","cg22708738",0.12924738647471
"21","cg21567504",0.653224053831636
"22","cg08313880",-0.52670620450636
"23","cg03527802",-0.0785153507066185
"24","cg23995914",0.6190374978381
"25","cg04027548",-1.01445433383652
"26","cg07077459",-0.0337859823567967
"27","cg03025830",0.100094497234148
"28","cg07978099",-0.0373257713573744
"29","cg24349631",-0.0297597087414113
"30","cg04218760",-0.0707298610229291
"31","cg24788483",-1.45371162973557
"32","cg11051055",0.158895418219006
"33","cg16419235",0.947873045562473
"34","cg07584066",0.296518538057857
"35","cg01054110",-0.449413410264479
"36","cg02001279",-0.380506398435174
"37","cg00271522",-0.189180255351803
"38","cg01055824",-0.383851960809381
"39","cg23510258",-0.00745640990809482
"40","cg07248223",-0.333580662637833
"41","cg17163168",0.0998583299178574
"42","cg18468088",1.72094350034702
"43","cg03771840",0.272671203520875
"44","cg27619353",-0.336007219204525
"45","cg12477880",-0.162336023816979
"46","cg23889772",-0.0554829562169292
"47","cg14224203",-0.00494190763438265
"48","cg04875128",1.35102481101003
"49","cg23159704",-0.127342656479126
"50","cg02355868",-0.0869600863788062
"51","cg14911690",1.64678558755449
"52","cg23552977",-1.38198548827315
"53","cg21186299",1.39571259614141
"54","cg15220605",-0.0330999790445491
"55","cg19283806",-1.31523116585595
"56","cg21251970",-0.0923723050389206
"57","cg01256539",-0.0276341308003051
"58","cg15277914",-0.275517327430726
"59","cg05542681",0.196627408480154
"60","cg22378065",-0.825476455403228
"61","cg00910503",-0.0348762920848546
"62","cg05960039",-0.0152744372820465
"63","cg23744638",-0.853536470605057
"64","cg26685941",-0.281598539302727
"65","cg04861640",-0.143916080827861
"66","cg06784991",2.25284254474923
"67","cg24862131",-0.0560999311241812
"68","cg26147845",-0.0930439402308935
"69","cg22185977",-0.212529421110594
"70","cg07955995",0.69061305991397
"71","cg13917614",-0.23605625704895
"72","cg14010720",-0.611986630745767
"73","cg10804656",1.51523311322101
"74","cg27432653",1.01508348293164
"75","cg11832534",-0.066796522130861
"76","cg16867657",7.32330146016378
"77","cg21159778",0.177003500789523
"78","cg22282410",0.0309658015783888
"79","cg14757228",0.246315383260405
"80","cg14746276",-0.614163954314348
"81","cg01873886",0.852443305168462
"82","cg24745327",0.546919418903237
"83","cg09935271",-0.0730435206174204
"84","cg11006267",0.120273812998719
"85","cg22352234",-0.602948135688313
"86","cg22454769",1.5366661732305
"87","cg15648389",0.170367267269752
"88","cg27455578",-0.0852074020444016
"89","cg17782713",-0.978543668443945
"90","cg08276993",-0.0495254984755954
"91","cg04646282",0.0741273270123077
"92","cg07536102",0.150337594566215
"93","cg00302979",-0.224303340300606
"94","cg03032497",0.326782356745744
"95","cg10658666",0.0844712142218053
"96","cg05546763",0.580843567499902
"97","cg14098795",-0.69991976746827
"98","cg04621728",-0.118887063916471
"99","cg12939283",-0.153404720281069
"100","cg13824500",0.0132812779959502
"101","cg02497428",-0.00571149111873324
"102","cg22358580",0.795711774113408
"103","cg06574422",0.642551398716879
"104","cg00797278",-0.50382769197638
"105","cg23008153",-0.459069613751559
"106","cg11271171",0.0481686469611397
"107","cg15900052",0.239002137968742
"108","cg12948621",0.217174276334549
"109","cg02272599",0.0052349924538918
"110","cg23510764",-0.373471881219373
"111","cg14847502",0.246604970117144
"112","cg26614073",-0.270510605306856
"113","cg04084157",0.156221687266043
"114","cg01511232",0.174338674826201
"115","cg10495047",0.0168877515953206
"116","cg24550456",0.29568453169523
"117","cg24169822",0.0528082496039178
"118","cg22016779",-0.289342189820991
"119","cg23712970",-0.672194449280865
"120","cg03619256",0.644650647948175
"121","cg13409704",-0.373199314276593
"122","cg03646329",0.12756109902563
"123","cg16608498",0.42734460833034
"124","cg01196788",0.183148739027177
"125","cg17243289",2.17702630319987
"126","cg18343474",0.252096949881847
"127","cg18310639",-0.370168735652761
"128","cg16584662",0.000583155990072572
"129","cg03633574",0.0220343818075984
"130","cg19789753",-0.00922593900219348
"131","cg24883498",-0.459499347814547
"132","cg04836038",1.22378427618617
"133","cg20761322",0.035391384757825
"134","cg19596273",1.51503978259327
"135","cg16618104",-0.335581596243125
"136","cg12419932",0.515325823800667
"137","cg17254383",0.0250945189668447
"138","cg27447740",-0.136931101996707
"139","cg00756943",0.00700226065367694
"140","cg10905180",-0.192219735124374
"141","cg06805925",0.555787021493812
"142","cg05324516",-0.00268032542658701
"143","cg01364769",-0.334455503949862
"144","cg20052760",-0.233508236032919
"145","cg08761208",-0.0473702801245829
"146","cg08573679",-1.11048173721937
"147","cg07172885",0.0431244038091893
"148","cg23808301",-0.57206188408973
"149","cg23357854",-0.316937052677669
"150","cg04662594",-0.120173280479557
"151","cg24620508",0.0584820108762081
"152","cg22296808",0.0188366058173574
"153","cg12424329",-0.191603894890265
"154","cg05262777",0.155415589623711
"155","cg22809047",1.1902728351178
"156","cg08908643",0.325777754591906
